timestamp, cpu_power_uW, io_power_uW
1503442739.698461061, 2437000, 5218000
1503442739.973065198, 2437000, 5218000
1503442740.244957139, 2437000, 5468000
1503442740.519647817, 2437000, 5468000
1503442740.794370056, 2437000, 5468000
1503442741.070128130, 2437000, 5468000
1503442741.345162633, 2437000, 5468000
1503442741.632305883, 2437000, 5218000
1503442741.911374862, 2437000, 5218000
1503442742.185754797, 2437000, 5468000
1503442742.463253354, 2437000, 5468000
1503442742.736181988, 2437000, 5468000
1503442743.012694792, 2437000, 5468000
1503442743.290053147, 2437000, 5468000
1503442743.567057278, 2437000, 5468000
1503442743.847162731, 2437000, 5468000
1503442744.124585447, 2437000, 5468000
1503442744.404874403, 2437000, 5468000
1503442744.684546250, 2437000, 5468000
1503442744.958845764, 2437000, 5468000
1503442745.232439427, 2437000, 5468000
1503442745.505619485, 2437000, 5468000
1503442745.780790371, 2437000, 5468000
1503442746.055683352, 2437000, 5468000
1503442746.330819057, 2437000, 5468000
1503442746.604310859, 2437000, 5468000
1503442746.879382083, 2437000, 5468000
1503442747.158281500, 2437000, 5468000
1503442747.432692815, 2437000, 5468000
1503442747.707906721, 2437000, 5468000
1503442747.987345845, 2437000, 5468000
1503442748.262541630, 2437000, 5468000
1503442748.536327097, 2437000, 5468000
1503442748.813757273, 2437000, 5468000
1503442749.091618675, 2437000, 5218000
1503442749.365829807, 2437000, 5218000
1503442749.640451665, 2437000, 5218000
1503442749.914759079, 2437000, 5218000
1503442750.189903164, 2437000, 5468000
1503442750.464278278, 2437000, 5468000
1503442750.741442431, 2437000, 5468000
1503442751.018499402, 2437000, 5468000
1503442751.291210954, 2437000, 5468000
1503442751.566261137, 2437000, 5468000
1503442751.844637647, 2437000, 5468000
1503442752.120231598, 2437000, 5468000
1503442752.396719361, 2437000, 5468000
1503442752.673386847, 2437000, 5468000
1503442752.948414671, 2437000, 5468000
1503442753.227517250, 2437000, 5468000
1503442753.505208610, 2437000, 5468000
1503442753.781460511, 2437000, 5468000
1503442754.056653896, 2437000, 5468000
1503442754.333833289, 2437000, 5468000
1503442754.610562036, 2437000, 5468000
1503442754.884280181, 2437000, 5468000
1503442755.161986142, 2437000, 5468000
1503442755.436064512, 2437000, 5468000
1503442755.709338851, 2437000, 5468000
1503442755.987242134, 2437000, 5468000
1503442756.263931661, 2437000, 5468000
1503442756.539553412, 2437000, 5468000
1503442756.812841272, 2437000, 5468000
1503442757.090203387, 2437000, 5468000
1503442757.365934220, 2437000, 5468000
1503442757.650822179, 2437000, 5468000
1503442757.935393194, 2437000, 5468000
1503442758.210467998, 2437000, 5468000
